Park Name,Region,County or Counties,Status,Remarks
Pettigrew State Park,Coastal Plain,"Tyrrell, Washington",Open,"The park protects the banks of Lake Phelps, the state's second largest natural lake, and the Scuppernong River."
Singletary Lake State Park,Coastal Plain,Bladen,Limited,"The park surrounds Singletary Lake, which is a State Lake and a Carolina Bay lake.  The park's facilities are usually reserved for registered group campers, but limited day use may be allowed while the camps are unoccupied."
